cluster_id	first_found	last_update	microreact_url
ALREADY_DECIMATED	1800-01-01	1800_01_01	
THIS_SHALL_BE_DECIMATED	1800-01-01	1999_01_01	
L4.1_BUDDIES	1800-01-01	1800_01_01	
000001	2026-04-27	2026-04-28	
CYTOSINE_ZONE	2026-04-27	2026-04-28	
CYTOSINE_SUBZONE	2026-04-27	2026-04-28	
fivesix@10	2026-04-27	2026-04-28	
fivesix@5	2026-04-27	2026-04-28	
000009	1900-02-01	2025-02-01	
000010	1900-02-01	2025-02-01	
000011	1900-02-01	2025-02-01	
WILL_MERGE_INTO_CZONE	2020-03-20	2026-05-03	
WILL_MERGE_INTO_CSUBZONE	2020-03-20	2026-05-03	
